Original Data	Log Sales	Trendless and Seasonless	Only Seasonless	Moving Avg	Global Polynomial fit	MA order 7
"1,026,320"	13.84149015	0.0297	13.6865	13.65672875	13.60043066	13.64220711
"744,815"	13.52089114	-0.1671	13.4897	13.65672875	13.60081417	13.64220711
"716,128"	13.4816142	-0.0848	13.572	13.65672875	13.60119757	13.64220711
"669,831"	13.41478072	0.0312	13.6879	13.65672875	13.60158085	13.64220711
"634,632"	13.36080058	-0.0125	13.6442	13.65672875	13.60196402	13.62970105
"875,283"	13.68230254	0.0081	13.6648	13.65672875	13.60234707	13.67545175
"1,265,129"	14.05068465	0.0937	13.7504	13.65672875	13.60273001	13.6971763
"1,149,891"	13.95517771	-0.0624	13.5989	13.6612796	13.60311283	13.69671929
"1,260,242"	14.04681432	0.1422	13.8099	13.66767951	13.60349554	13.68586779
"810,205"	13.60504258	0.0561	13.724	13.66798983	13.60387813	13.68880238
"660,271"	13.40040564	0.0168	13.6847	13.66794744	13.60426061	13.66731397
"745,118"	13.52129787	-0.1075	13.5683	13.67580847	13.60464297	13.66964348
"1,025,177"	13.84037584	0.0025	13.6854	13.68288091	13.60502521	13.6470984
"831,699"	13.63122588	-0.0889	13.6	13.68889995	13.60540734	13.64066633
"747,790"	13.52487747	-0.0753	13.6152	13.69057199	13.60578936	13.65980523
"646,265"	13.37896492	-0.0341	13.6521	13.68616657	13.60617126	13.68809355
"657,105"	13.3955991	-0.0097	13.679	13.6886871	13.60655304	13.69411587
"1,020,873"	13.8361687	0.123	13.8187	13.69566913	13.60693471	13.711468
"1,285,370"	14.06655717	0.071	13.7663	13.6952773	13.60731626	13.72454424
"1,307,676"	14.08376207	0.0368	13.7275	13.69070863	13.6076977	13.74031342
"1,153,555"	13.95835904	0.0325	13.7215	13.68899357	13.60807903	13.73731946
"796,329"	13.5877677	0.0159	13.7068	13.69087193	13.60846023	13.70410099
"713,668"	13.47817315	0.0682	13.7625	13.69424295	13.60884132	13.67885326
"815,127"	13.61109921	-0.0267	13.6581	13.68475164	13.6092223	13.65842518
"928,356"	13.74117056	-0.0867	13.5862	13.67282475	13.60960316	13.65934507
"823,059"	13.62078317	-0.0786	13.5895	13.66812451	13.60998391	13.6561101
"725,168"	13.49415863	-0.0762	13.5845	13.66070565	13.61036454	13.63086845
"697,156"	13.45476448	0.0743	13.7279	13.6536296	13.61074505	13.63870674
"660,468"	13.40070395	0.0341	13.6841	13.650006	13.61112545	13.65040742
"808,772"	13.60327233	-0.0658	13.5858	13.65154642	13.61150574	13.65230908
"1,218,594"	14.01320829	0.0535	13.7129	13.65946005	13.61188591	13.66245525
"1,232,192"	14.02430526	-0.0006	13.6681	13.66863358	13.61226596	13.66229064
"1,024,549"	13.83976307	-0.079	13.6029	13.68184063	13.6126459	13.66895412
"756,561"	13.53653844	-0.0395	13.6555	13.69504594	13.61302572	13.68575232
"688,614"	13.44243616	0.0252	13.7267	13.70157034	13.61340543	13.68283218
"876,600"	13.68380607	0.0255	13.7308	13.7053031	13.61378502	13.70147294
"1,043,813"	13.85839091	-0.007	13.7034	13.71039782	13.6141645	13.73403545
"912,303"	13.72372745	-0.031	13.6925	13.72348986	13.61454386	13.74578798
"898,232"	13.70818367	0.056	13.7985	13.74256928	13.61492311	13.73078063
"772,716"	13.55766686	0.0777	13.8308	13.75304989	13.61530224	13.7405708
"696,893"	13.45438716	-0.0199	13.7378	13.75771738	13.61568126	13.76807413
"838,337"	13.63917545	-0.1412	13.6217	13.76291147	13.61606016	13.78813621
"1,328,523"	14.09957836	0.0311	13.7993	13.76824657	13.61643894	13.77077415
"1,547,489"	14.25214418	0.1188	13.8959	13.77706546	13.61681761	13.76884525
"1,289,584"	14.06983024	0.0526	13.8329	13.78036615	13.61719617	13.77271198
"772,978"	13.55800587	-0.0997	13.677	13.77668316	13.61757461	13.79780064
"753,880"	13.53298848	0.0412	13.8173	13.77610878	13.61795293	13.79935863
"907,013"	13.71791206	-0.0193	13.7649	13.78417358	13.61833114	13.77995091
"1,146,618"	13.9523273	0.0049	13.7973	13.7923818	13.61870923	13.77251934
"1,026,273"	13.84144435	0.0259	13.8102	13.78429314	13.61908721	13.78636314
"864,307"	13.66968331	-0.0091	13.76	13.76918101	13.61946507	13.78091244
"735,110"	13.50777543	0.0136	13.7809	13.76729661	13.61984282	13.79148013
"722,515"	13.49049346	0.0053	13.7739	13.7685872	13.62022045	13.77218162
"981,291"	13.79662433	0.0145	13.7791	13.76463871	13.62059797	13.75699631
"1,382,117"	14.13912694	0.0773	13.8388	13.76155102	13.62097537	13.75710419
"1,225,020"	14.01846773	-0.0963	13.6622	13.75847406	13.62135265	13.75475763
"1,133,494"	13.94081546	-0.0555	13.7039	13.75943577	13.62172983	13.74747366
"840,536"	13.64179506	-0.0009	13.7608	13.76170343	13.62210688	13.74547593
"715,097"	13.48017348	0.003	13.7645	13.76142921	13.62248382	13.73542822
"869,752"	13.67596339	-0.0394	13.7229	13.76233371	13.62286064	13.75865604
"1,110,334"	13.92017143	0.0047	13.7652	13.7604784	13.62323735	13.7681768
